Unnamed: 0,Domain,Cert,Url,PDF,Classification
53,https://www.nestle.com/,CIS,https://www.nestle.com/sites/default/files/asset-library/documents/library/documents/corporate_social_responsibility/russia_2011_en.pdf,True,unknown
54,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/responsible-sourcing/procurement,False,good
55,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/corporate-responsibility/recognition,False,unknown
56,https://www.amazon.com/,CIS,https://www.amazon.com/Toys-Games-CIS-Associates/s?rh=n%3A165793011%2Cp_4%3ACIS-Associates,False,unknown
57,https://www.ted.com/,CIS,https://www.ted.com/talks/maite_schneider_6_dicas_de_uma_trans_para_uma_sociedade_cis_hetero_normativa,False,unknown
58,https://www.nestle.com/,CIS,https://www.nestle.com/sites/default/files/asset-library/documents/library/documents/corporate_social_responsibility/russia_2011_en.pdf,True,unknown
59,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/responsible-sourcing/procurement,False,good
60,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/corporate-responsibility/recognition,False,unknown
61,https://www.amazon.com/,CIS,https://www.amazon.com/Toys-Games-CIS-Associates/s?rh=n%3A165793011%2Cp_4%3ACIS-Associates,False,unknown
62,https://www.ted.com/,CIS,https://www.ted.com/talks/maite_schneider_6_dicas_de_uma_trans_para_uma_sociedade_cis_hetero_normativa,False,unknown
63,https://www.nestle.com/,CIS,https://www.nestle.com/sites/default/files/asset-library/documents/library/documents/corporate_social_responsibility/russia_2011_en.pdf,True,unknown
64,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/responsible-sourcing/procurement,False,good
65,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/corporate-responsibility/recognition,False,unknown
66,https://www.amazon.com/,CIS,https://www.amazon.com/Toys-Games-CIS-Associates/s?rh=n%3A165793011%2Cp_4%3ACIS-Associates,False,unknown
67,https://www.ted.com/,CIS,https://www.ted.com/talks/maite_schneider_6_dicas_de_uma_trans_para_uma_sociedade_cis_hetero_normativa,False,unknown
68,https://www.nestle.com/,CIS,https://www.nestle.com/sites/default/files/asset-library/documents/library/documents/corporate_social_responsibility/russia_2011_en.pdf,True,unknown
69,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/responsible-sourcing/procurement,False,good
70,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/corporate-responsibility/recognition,False,unknown
71,https://www.amazon.com/,CIS,https://www.amazon.com/Toys-Games-CIS-Associates/s?rh=n%3A165793011%2Cp_4%3ACIS-Associates,False,unknown
72,https://www.ted.com/,CIS,https://www.ted.com/talks/maite_schneider_6_dicas_de_uma_trans_para_uma_sociedade_cis_hetero_normativa,False,unknown
73,https://www.nestle.com/,CIS,https://www.nestle.com/sites/default/files/asset-library/documents/library/documents/corporate_social_responsibility/russia_2011_en.pdf,True,unknown
74,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/responsible-sourcing/procurement,False,good
75,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/corporate-responsibility/recognition,False,unknown
76,https://www.amazon.com/,CIS,https://www.amazon.com/Toys-Games-CIS-Associates/s?rh=n%3A165793011%2Cp_4%3ACIS-Associates,False,unknown
77,https://www.ted.com/,CIS,https://www.ted.com/talks/maite_schneider_6_dicas_de_uma_trans_para_uma_sociedade_cis_hetero_normativa,False,unknown
78,https://www.nestle.com/,CIS,https://www.nestle.com/sites/default/files/asset-library/documents/library/documents/corporate_social_responsibility/russia_2011_en.pdf,True,unknown
79,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/responsible-sourcing/procurement,False,good
80,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/corporate-responsibility/recognition,False,unknown
81,https://www.amazon.com/,CIS,https://www.amazon.com/Toys-Games-CIS-Associates/s?rh=n%3A165793011%2Cp_4%3ACIS-Associates,False,unknown
82,https://www.ted.com/,CIS,https://www.ted.com/talks/maite_schneider_6_dicas_de_uma_trans_para_uma_sociedade_cis_hetero_normativa,False,unknown
83,https://www.nestle.com/,CIS,https://www.nestle.com/sites/default/files/asset-library/documents/library/documents/corporate_social_responsibility/russia_2011_en.pdf,True,unknown
84,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/responsible-sourcing/procurement,False,good
85,https://www.microsoft.com/,CDP,https://www.microsoft.com/en-us/corporate-responsibility/recognition,False,unknown
86,https://www.amazon.com/,CIS,https://www.amazon.com/Toys-Games-CIS-Associates/s?rh=n%3A165793011%2Cp_4%3ACIS-Associates,False,unknown
87,https://www.ted.com/,CIS,https://www.ted.com/talks/maite_schneider_6_dicas_de_uma_trans_para_uma_sociedade_cis_hetero_normativa,False,unknown
88,https://www.nestle.com/,CIS,https://www.nestle.com/sites/default/files/asset-library/documents/library/documents/corporate_social_responsibility/russia_2011_en.pdf,True,unknown
